date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:34:26	445/445	U-----	200	untouched ('OK')	text/plain	date:Thu,%2022%20Feb%202018%2007:02:57%20GMT	https://mananshukla97.wixsite.com/robots.txt		(from )
12:34:27	37994/37994	U--MCZ	200	updated ('OK')	text/html	date:Thu,%2022%20Feb%202018%2007:04:22%20GMT	https://mananshukla97.wixsite.com/mysite	C:/My%20Web%20Sites/ironmanan/mananshukla97.wixsite.com/mysite.html	(from )
12:34:27	15219/15219	U-----	200	untouched ('OK')	application/x-javascript	etag:W/%2241d6234ac5270f9d344e50a6b68aa3d4-1%22	https://static.parastorage.com/services/third-party/requirejs/2.1.15/require.min.js	C:/My%20Web%20Sites/ironmanan/static.parastorage.com/services/third-party/requirejs/2.1.15/require.min.js	(from https://mananshukla97.wixsite.com/mysite)
12:34:27	53191/53191	U-----	200	untouched ('')	application/javascript	etag:W/%2298a807d76e5eba7170917fda3ccc00ea%22	https://static.parastorage.com/services/santa/1.2744.17/app/main-r.min.js	C:/My%20Web%20Sites/ironmanan/static.parastorage.com/services/santa/1.2744.17/app/main-r.min.js	(from https://mananshukla97.wixsite.com/mysite)
12:34:27	72772/72772	U-----	200	untouched ('')	application/javascript	etag:W/%22c8515f131f3194c32a3670c8e274fab6%22	https://static.parastorage.com/unpkg/lodash@4.17.4/lodash.min.js	C:/My%20Web%20Sites/ironmanan/static.parastorage.com/unpkg/lodash@4.17.4/lodash.min.js	(from https://mananshukla97.wixsite.com/mysite)
12:34:28	64187/64187	U--M-Z	200	updated ('OK')	application/javascript	date:Thu,%2022%20Feb%202018%2007:04:25%20GMT	https://static.parastorage.com/polyfill/v2/polyfill.min.js?features=es2015,es2016,es2017,fetch&flags=gated&unknown=polyfill&rum=0	C:/My%20Web%20Sites/ironmanan/static.parastorage.com/polyfill/v2/polyfill.minacc0.js	(from https://mananshukla97.wixsite.com/mysite)
12:34:29	2907/2907	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2022%20Feb%202018%2007:04:26%20GMT	https://mananshukla97.wixsite.com/sitemap.xml	C:/My%20Web%20Sites/ironmanan/mananshukla97.wixsite.com/sitemap.7.delayed	(from https://mananshukla97.wixsite.com/mysite)
12:34:29	2907/2907	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2022%20Feb%202018%2007:04:27%20GMT	https://mananshukla97.wixsite.com/feed.xml	C:/My%20Web%20Sites/ironmanan/mananshukla97.wixsite.com/feed.xml	(from https://mananshukla97.wixsite.com/mysite)
12:34:30	26386/26386	U-----	200	untouched ('')	application/javascript	etag:W/%2250a4556b0089cfa1cb61e88ea23bbcce%22	https://static.parastorage.com/unpkg/zepto@1.2.0/dist/zepto.min.js	C:/My%20Web%20Sites/ironmanan/static.parastorage.com/unpkg/zepto@1.2.0/dist/zepto.min.js	(from https://mananshukla97.wixsite.com/mysite)
12:34:31	2907/2907	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2022%20Feb%202018%2007:04:27%20GMT	https://mananshukla97.wixsite.com/	C:/My%20Web%20Sites/ironmanan/mananshukla97.wixsite.com/index.html	(from https://static.parastorage.com/services/third-party/requirejs/2.1.15/require.min.js)
